{'loss': 2.6159, 'grad_norm': nan, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 2.6531, 'grad_norm': 43.082942962646484, 'learning_rate': 1.4e-07, 'epoch': 0.02}
{'loss': 2.5379, 'grad_norm': 33.097286224365234, 'learning_rate': 3.2e-07, 'epoch': 0.03}
{'loss': 2.2057, 'grad_norm': 19.713186264038086, 'learning_rate': 5.2e-07, 'epoch': 0.05}
{'loss': 1.8722, 'grad_norm': 11.27592658996582, 'learning_rate': 7.2e-07, 'epoch': 0.06}
{'loss': 1.6125, 'grad_norm': 18.106632232666016, 'learning_rate': 9.2e-07, 'epoch': 0.08}
{'loss': 1.5181, 'grad_norm': 6.174423694610596, 'learning_rate': 1.12e-06, 'epoch': 0.1}
{'loss': 1.4105, 'grad_norm': 11.191650390625, 'learning_rate': 1.32e-06, 'epoch': 0.11}
{'loss': 1.2153, 'grad_norm': 6.891504764556885, 'learning_rate': 1.5e-06, 'epoch': 0.13}
{'loss': 1.1175, 'grad_norm': 4.046194553375244, 'learning_rate': 1.7000000000000002e-06, 'epoch': 0.14}
{'loss': 0.9834, 'grad_norm': 3.70713210105896, 'learning_rate': 1.9e-06, 'epoch': 0.16}
{'loss': 0.9287, 'grad_norm': 8.22990608215332, 'learning_rate': 2.1000000000000002e-06, 'epoch': 0.18}
{'loss': 0.8686, 'grad_norm': 4.602364540100098, 'learning_rate': 2.3e-06, 'epoch': 0.19}
{'loss': 0.821, 'grad_norm': 4.557016849517822, 'learning_rate': 2.5e-06, 'epoch': 0.21}
{'loss': 0.7909, 'grad_norm': 5.837735176086426, 'learning_rate': 2.7e-06, 'epoch': 0.22}
{'loss': 0.7242, 'grad_norm': 5.159943580627441, 'learning_rate': 2.9e-06, 'epoch': 0.24}
{'loss': 0.6081, 'grad_norm': 5.367408275604248, 'learning_rate': 3.1e-06, 'epoch': 0.26}
{'loss': 0.6383, 'grad_norm': 4.699049949645996, 'learning_rate': 3.3e-06, 'epoch': 0.27}
{'loss': 0.5965, 'grad_norm': 6.367435932159424, 'learning_rate': 3.5000000000000004e-06, 'epoch': 0.29}
{'loss': 0.5649, 'grad_norm': 4.186035633087158, 'learning_rate': 3.7e-06, 'epoch': 0.3}
{'loss': 0.5116, 'grad_norm': 6.878662586212158, 'learning_rate': 3.9e-06, 'epoch': 0.32}
{'loss': 0.5028, 'grad_norm': 5.9861226081848145, 'learning_rate': 4.1000000000000006e-06, 'epoch': 0.34}
{'loss': 0.4995, 'grad_norm': 13.812931060791016, 'learning_rate': 4.2999999999999995e-06, 'epoch': 0.35}
{'loss': 0.4703, 'grad_norm': 9.485621452331543, 'learning_rate': 4.5e-06, 'epoch': 0.37}
{'loss': 0.401, 'grad_norm': 7.302251815795898, 'learning_rate': 4.7e-06, 'epoch': 0.38}
{'loss': 0.3884, 'grad_norm': 12.268569946289062, 'learning_rate': 4.9000000000000005e-06, 'epoch': 0.4}
{'loss': 0.3644, 'grad_norm': 9.05059814453125, 'learning_rate': 5.1e-06, 'epoch': 0.42}
{'loss': 0.3695, 'grad_norm': 7.337156295776367, 'learning_rate': 5.28e-06, 'epoch': 0.43}
{'loss': 0.3658, 'grad_norm': 4.120484352111816, 'learning_rate': 5.48e-06, 'epoch': 0.45}
{'loss': 0.3746, 'grad_norm': 10.613297462463379, 'learning_rate': 5.680000000000001e-06, 'epoch': 0.46}
{'loss': 0.3483, 'grad_norm': 9.432660102844238, 'learning_rate': 5.8800000000000005e-06, 'epoch': 0.48}
{'loss': 0.3685, 'grad_norm': 5.465212821960449, 'learning_rate': 6.08e-06, 'epoch': 0.5}
